comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,,type
"Iran mocked Donald Trump after the US moved to restrict Iranian access in the Strait of Hormuz. It said the Strait is not like social media where you can simply block someone. The comment came after the US increased pressure on Iranian maritime movement in the region. This is part of growing tensions between the US and Iran over the strategic waterway.

Iran’s Consulate General in Hyderabad made the sarcastic remark on social media platform X. The post quickly went viral and gained wide attention online. The Strait of Hormuz is one of the most important oil shipping routes in the world. Any disruption in this area can impact global oil supply and prices.

Iran warned against any escalation and called such actions provocative. It said restrictions on its ports and shipping are illegal. In short, Iran used sarcasm to criticise the US move and highlight rising tensions. The dispute adds more strain to already tense US-Iran relations.

#BusinessBulls #Iran #DonaldTrump #StraitOfHormuz",Business Bulls | AI,businessbulls.in,https://www.instagram.com/p/DXJLLPJEjGE/,427,Palestine is free👏 Palestine is free 🙏 Palestine is free 💪 Palestine is free ✌️. Stop the appsrtheit.,7670,2026-04-15T07:07:35.000Z,,BusinessBulls,Iran,DonaldTrump,StraitOfHormuz,,,,,,,,,,,Instagram
"🛑 AUSTRALIA’S FUEL CRISIS: THE $4 AT THE BOWSER 🛑

​The nightmare scenario is becoming a reality for remote Australia. With fuel prices hitting a staggering $4 per litre in the Northern Territory, the ripple effect is already reaching our major cities. From Arnhem Land to the streets of Sydney, the ""Energy Cost Shock"" is here. 🇦🇺⛽️

​What’s driving the surge?
​Global Instability: Tensions in the Middle East and the effective closure of the Strait of Hormuz (where 20% of the world's oil flows) are choking supply. 🚢🔥 

​Remote Reality: Towns like Ramingining and Milingimbi are paying nearly 399c/litre due to extreme transport costs.

​City Spikes: Melbourne and Sydney are already seeing prices climb toward 220c/litre, with experts predicting more hikes if global disruptions continue. 📈 

​Is this the start of a permanent shift in how we power our lives? Check the local apps before you fill up—every cent counts. 💸

​#FuelCrisis #AustraliaNews #PetrolPrices #EnergyCrisis #NorthernTerritory SydneyLife",Namma Australia,namma_australia,https://www.instagram.com/p/DVf04thDc4r/,1,Share.it.on @aus.magazine 🇦🇺,-1,2026-03-05T09:12:35.000Z,,FuelCrisis,AustraliaNews,PetrolPrices,EnergyCrisis,NorthernTerritory,,,,,,,,,,Instagram
"#Australia 

#Repost @techtimesofficial
・・・
The fuel crisis in Australia has reached a breaking point as more than 500 service stations in New South Wales and Victoria have officially run dry. Long queues of vehicles are snaking around city blocks as desperate motorists scramble to find the few remaining pumps still in operation.

Global supply chain disruptions and regional instability have severely choked off the usual flow of refined petroleum products to the Australian continent. This scarcity has triggered emergency conservation measures, with some local councils urging residents to limit non-essential travel until tankers can arrive.

Logistics companies are warning that the shortage is starting to affect the delivery of fresh groceries and medical supplies, as many heavy transport trucks are also struggling to refuel. If the taps don’t start flowing again soon, the entire domestic economy could face a significant slowdown.

While the federal government has released a portion of the national strategic fuel reserve, it hasn’t been enough to offset the massive demand from panic-buying citizens. Energy experts suggest that the current infrastructure was simply not prepared for a total interruption of this magnitude.

Small business owners and commuters are bearing the brunt of the financial impact as fuel prices at surviving stations have skyrocketed to record highs. Officials are now working around the clock to secure new international shipments, but it could be weeks before the supply at the pump returns to normal.

Australia #FuelCrisis #Sydney Melbourne #EnergyNews",Frances Fisher,francesfisher,https://www.instagram.com/p/DWYWklkEYHE/,35,Wow how many petrol stations is there in Australia  a fucken shit loads they aren't hard to find,180,2026-03-27T08:06:19.000Z,,Australia,Repost,FuelCrisis,Sydney,EnergyNews,,,,,,,,,,Instagram
"The narrative circulating online claims U.S. troops are refusing orders tied to Iran, framing it as a “military collapse” and even the “largest insurrection in history.” That’s a massive claim, and people are starting to notice how quickly it spread compared to how little verified reporting actually backs it.

Here’s what’s real: large-scale refusal across the U.S. military would trigger immediate command breakdown, legal action under the Uniform Code of Military Justice, and widespread confirmation from multiple credible sources. None of that has surfaced. What we’re seeing instead is how fast high-impact language like “insurrection” can drive engagement, especially when it taps into existing distrust around war decisions and leadership. So the question isn’t just about Iran anymore, it’s about how easily narratives escalate before facts catch up… who benefits from that?

Marcus - THL

#politics #breakingnews #military #iran #news #currentevents #geopolitics",The Headline Lab,theheadlinelab,https://www.instagram.com/p/DWBvC-BFaqm/,346,"The Fatwa: Khamenei declared that the production, stockpiling, and use of weapons of mass destruction are sins and against Islamic principles. America not so much.",2171,2026-03-18T13:15:43.000Z,,politics,breakingnews,military,iran,news,currentevents,geopolitics,,,,,,,,Instagram
"#Iran’s deputy parliament speaker Hamidreza Haji-Babaei says Tehran has received its first revenue from tolls imposed on the Strait of Hormuz, according to the semi-official Tasnim news agency.⁠
.⁠
🔴 Follow our LIVE coverage - link in bio.⁠
.⁠
#US #Israel ⁠
.⁠
📸 @reuters",Al Jazeera English,aljazeeraenglish,https://www.instagram.com/p/DXd-oBfjv7P/,585,Fake news. Still.😂😂😂😂😂,25759,2026-04-23T09:02:07.000Z,,Iran’s,US,Israel,,,,,,,,,,,,Instagram
"Commercial LPG cylinder prices have surged by ₹1,518 in just four months, with the steepest hike of ₹993 recorded on May 1. The sharp rise highlights mounting cost pressures for businesses relying on bulk fuel.
.
Follow [@onevisionmedia.in ] to stay informed and updated❗
.
#Onevisionmedia #lpgprices #inflation #fuelcost #indiaeconomy

[LPG price hike, commercial cylinders, inflation impact, fuel prices, India economy]

𝘋𝘪𝘴𝘤𝘭𝘢𝘪𝘮𝘦𝘳:
𝘛𝘩𝘦 𝘳𝘦𝘱𝘳𝘰𝘥𝘶𝘤𝘦𝘥 𝘷𝘪𝘥𝘦𝘰 𝘰𝘳 𝘱𝘩𝘰𝘵𝘰 𝘤𝘰𝘯𝘵𝘦𝘯𝘵 𝘪𝘴 𝘶𝘴𝘦𝘥 𝘶𝘯𝘥𝘦𝘳 𝘵𝘩𝘦 𝘧𝘢𝘪𝘳 𝘥𝘦𝘢𝘭𝘪𝘯𝘨 𝘱𝘳𝘰𝘷𝘪𝘴𝘪𝘰𝘯𝘴 𝘰𝘧 𝘚𝘦𝘤𝘵𝘪𝘰𝘯 52(1)(B) 𝘰𝘧 𝘵𝘩𝘦 𝘐𝘯𝘥𝘪𝘢𝘯 𝘊𝘰𝘱𝘺𝘳𝘪𝘨𝘩𝘵 𝘈𝘤𝘵, 1957, 𝘸𝘩𝘪𝘤𝘩 𝘱𝘦𝘳𝘮𝘪𝘵𝘴 𝘵𝘩𝘦 𝘶𝘴𝘦 𝘰𝘧 𝘤𝘰𝘱𝘺𝘳𝘪𝘨𝘩𝘵𝘦𝘥 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭 𝘧𝘰𝘳 𝘵𝘩𝘦 𝘱𝘶𝘳𝘱𝘰𝘴𝘦 𝘰𝘧 𝘳𝘦𝘱𝘰𝘳𝘵𝘪𝘯𝘨 𝘤𝘶𝘳𝘳𝘦𝘯𝘵 𝘦𝘷𝘦𝘯𝘵𝘴, 𝘵𝘦𝘢𝘤𝘩𝘪𝘯𝘨, 𝘳𝘦𝘴𝘦𝘢𝘳𝘤𝘩 𝘢𝘯𝘥 𝘯𝘦𝘸𝘴. 𝘖𝘶𝘳 𝘴𝘰𝘭𝘦 𝘰𝘣𝘫𝘦𝘤𝘵𝘪𝘷𝘦 𝘪𝘴 𝘵𝘰 𝘪𝘯𝘧𝘰𝘳𝘮 𝘵𝘩𝘦 𝘱𝘶𝘣𝘭𝘪𝘤, 𝘯𝘰𝘵 𝘵𝘰 𝘦𝘹𝘱𝘭𝘰𝘪𝘵 𝘵𝘩𝘦 𝘤𝘳𝘦𝘢𝘵𝘰𝘳’𝘴 𝘪𝘥𝘦𝘯𝘵𝘪𝘵𝘺 𝘰𝘳 𝘤𝘰𝘯𝘵𝘦𝘯𝘵. 𝘞𝘦 𝘥𝘰 𝘯𝘰𝘵 𝘤𝘭𝘢𝘪𝘮 𝘰𝘸𝘯𝘦𝘳𝘴𝘩𝘪𝘱 𝘰𝘧 𝘵𝘩𝘦 𝘮𝘢𝘵𝘦𝘳𝘪𝘢𝘭, 𝘧𝘶𝘭𝘭 𝘤𝘳𝘦𝘥𝘪𝘵 𝘪𝘴 𝘢𝘵𝘵𝘳𝘪𝘣𝘶𝘵𝘦𝘥 𝘵𝘰 𝘵𝘩𝘦 𝘰𝘳𝘪𝘨𝘪𝘯𝘢𝘭 𝘤𝘳𝘦𝘢𝘵𝘰𝘳 𝘰𝘳 𝘢𝘳𝘵𝘪𝘴t",Onevision Media,onevisionmedia.in,https://www.instagram.com/p/DXydzTFgaRw/,16,Modi jindabad,-1,2026-05-01T07:59:14.000Z,,Onevisionmedia,lpgprices,inflation,fuelcost,indiaeconomy,,,,,,,,,,Instagram
"Fuel prices are again rising as high as the sky and will be readjusted this week for sales at pumps across Pakistan.

Prime Minister Shehbaz Sharif has hinted at another increase in prices of petrol and diesel in line with the energy crisis across international markets.

It is a challenging situation, he said while addressing the media earlier today.

Last week, the Petroleum Division increased both petrol and diesel rates by Rs. 26.77 per litre to Rs. 393.35 per litre and Rs. 380.19 per litre, respectively.

Unless income growth improves, fuel-related inflationary pressure is likely to remain disproportionately high for Pakistani consumers compared to their regional peers.

Meanwhile, petrol pump owners have demanded Rs. 82.5 billion payout from the government to absorb the impact of the war-driven fuel crisis.

Payments were released over three consecutive weeks, including Rs. 17–18 billion in the first week, Rs. 15 billion in the second week, and Rs. 18 billion in the third week.

The government is expected to disburse an additional Rs. 50–55 billion to Oil Marketing Companies (OMCs) soon to settle remaining payment obligations.
For more details visit ProPakistani.pk",ProPakistani,pro_pakistani,https://www.instagram.com/p/DXtpg-NCZtC/,54,"Ppl don't care. They'll keep going out, shopping eating like normal",302,2026-04-29T11:05:29.000Z,,,,,,,,,,,,,,,,Instagram
"Commercial LPG prices in India have been hiked by ₹993 amid rising global tensions linked to the Iran-US conflict, pushing the 19 kg cylinder to over ₹3,000 in cities like Delhi. While businesses face increased costs, domestic LPG, petrol and diesel prices remain unchanged, offering some relief to households despite the ongoing global fuel crisis. 

#lpgprice #fuelprice #indiabusiness #globalnews #inflation",The Trending India 🇮🇳,thetrendingindian,https://www.instagram.com/p/DXyZAEvkmgo/,13,Vishwaguru.. Itna paisa foreign travel pe udaya.. Kya mila 👎👎,704,2026-05-01T07:17:17.000Z,,lpgprice,fuelprice,indiabusiness,globalnews,inflation,,,,,,,,,,Instagram
"🚨 Asia just made 4-day workweeks and work-from-home mandatory. 

Major Asian economies are pivoting to extreme energy-saving measures as a closed Strait of Hormuz threatens their core oil supplies. With Japan and South Korea sourcing up to 90% of their oil from the Middle East, the crisis has prompted governments to act decisively. The Philippines is pushing for a mandatory four-day work week, while Thailand has ordered civil servants to work from home and take the stairs instead of elevators. In South Asia, Pakistan and Bangladesh have closed schools or moved holidays forward to preserve dwindling fuel reserves, reflecting a region-wide scramble to lower domestic consumption.

Beyond lifestyle restrictions, governments are intervening directly in markets to prevent economic collapse. South Korea has introduced petroleum price caps, and Indonesia has allocated over $22 billion in subsidies to keep fuel affordable. Despite the International Energy Agency’s release of 400 million barrels from emergency reserves, analysts warn that prices could soar to $200 per barrel if maritime traffic remains blocked. As national industries face mounting pressure and India suspends gas shipments to commercial operators, the region remains on high alert for a prolonged energy crunch that could redefine Asian labor and economic policy.

source: Ang, A. (2026, March 11). Asia rolls out four-day weeks and work-from-home as emergency measures to solve a fuel crisis caused by Iran war. Business News Report.",Hashem Al-Ghaili,hashem.alghaili,https://www.instagram.com/p/DV3hNrXDCb1/,330,Not everyone can work from home.  Those that can good for you but for those of that can't need to physically go to work and make $$,35366,2026-03-14T14:02:26.000Z,,,,,,,,,,,,,,,,Instagram
"نوروز امسال در ایران، در کنار بهترین‌ها. #iran #persian #freedom #",,nostalgi_lens,https://www.instagram.com/p/DVYh9UCjTOD/,2508,🤮,39415,2026-03-02T13:19:39.000Z,,iran,persian,freedom,,,,,,,,,,,,Instagram
"Can you see thru it by now? 👀

Manufactured crises planned in order to invoke fear, panic… and then sell you the solution. 

First they suggest what to do, then gradually implement it once you’ve gotten used to it. 

Could this be a push for electric cars so they can monitor & control your driving habits? 

Surely not 🫠

———

The 2030 plan is well underway.

& what is it?

A global unified digital surveillance system where they’ll have complete access to controlling your finances, healthcare choices, travel options, etc..

& they’re quietly building this while the world is at “war”

As a result, I’ve put together a digital financial protection guide to inform you about the implications.

Comment “digital” to learn how to prepare for the changing financial system and become a sovereign, independent player in the game.

Things are shifting fast.

——-

Follow @daguti_ for more new earth content 🌎

#fuel #oil #fuelcrisis",Dani Gutierrez | Personal Brand Mentor & New Earth Visionary 🌎,daguti_,https://www.instagram.com/p/DWR_8lcEU_v/,257,digital,896,2026-03-24T20:52:49.000Z,,fuel,oil,fuelcrisis,,,,,,,,,,,,Instagram
Israel ready for India’s Prime Minister @narendramodi and how 😍🇮🇱🤍🇮🇳,Revital Moses |🇮🇳🇮🇱| Moses in Israel,mosesinisrael,https://www.instagram.com/p/DVJnyjkCIjo/,1081,,17998,2026-02-24T18:16:46.000Z,,,,,,,,,,,,,,,,Instagram
"Before a single word was exchanged in Islamabad, Iran had already spoken.

It spoke in fabric. In colour. In absence.

The photographs tell the story that diplomacy often edits out.

Seventy-one men stepped into the Serena Hotel in near-perfect uniformity — black suits, white shirts, collars open. No neckties. Not one. Led by Parliament Speaker Mohammad Bagher Ghalibaf and Foreign Minister Abbas Araghchi, the delegation did not just arrive. It declared.

Read More:
https://kashmirobserver.net/2026/04/12/irans-dress-code-was-its-opening-statement/",Kashmir Observer®,kashmirobserver,https://www.instagram.com/p/DXBTw-kEbHv/,568,Yes very original...I like their style👏👏👏👏😍😍😍😍😍,13389,2026-04-12T05:48:45.000Z,,,,,,,,,,,,,,,,Instagram
"Fuel crisis warning ⛽

#BreakingNews #Pakistan #OilCrisis #WorldNews #Energy #Geopolitics",Laughing Colours | Humor | Fun,laughingcolours,https://www.instagram.com/p/DXqvvVpkQpV/,61,,2010,2026-04-28T08:02:02.000Z,,BreakingNews,Pakistan,OilCrisis,WorldNews,Energy,Geopolitics,,,,,,,,,Instagram
"First LPG… and now Petrol & Diesel. ⛽
Is a fuel crisis slowly becoming a reality? Fuel is something we rely on every single day — from transport to essential supplies. If shortages continue, it could impact everyone’s daily life.

What do you think — temporary issue or something bigger coming? @fayedsouza @ndtvindia @tnnews24digital 

#LPGcrisis #Petrolcrisis #FuelShortage #IndiaNews #ndtvnews",Pooja ❤️ Chennai Vlogger,miss_eattripclick,https://www.instagram.com/p/DVwRU52k_w4/,409,❤️,118862,2026-03-11T18:29:28.000Z,,LPGcrisis,Petrolcrisis,FuelShortage,IndiaNews,ndtvnews,,,,,,,,,,Instagram
fair enough 🤣,Georgia | Lap of Aus in my van,trippinggee_,https://www.instagram.com/p/DWfFFySk-Tc/,299,Stop recording strangers you creep,68760,2026-03-29T22:46:56.000Z,,,,,,,,,,,,,,,,Instagram
"California is facing a potential fuel crisis as experts and lawmakers warn gas prices could surge to $8 per gallon by the end of 2026, with supply shortages raising concerns about possible rationing. The warning comes as the state deals with declining refinery capacity and increasing reliance on imported fuel, leaving the system more vulnerable to disruptions.

Reports point to a deeper structural issue. California has limited pipeline connections and depends heavily on in-state refineries, several of which are expected to shut down or reduce output. Analysts warn that this could create a significant supply gap, especially during peak demand or global oil shocks, pushing prices sharply higher.

Lawmakers are increasingly concerned that if supply drops too far, the state could face extreme measures to control demand, including fuel rationing scenarios not seen in decades. While not guaranteed, the discussion alone highlights how fragile California’s fuel system has become under tightening supply conditions.

Your Turn:
Would $8 per gallon force you to change how much you drive?

Follow @WhatsAMortgage for real-life news, health updates, and what to actually do with it.

Source: https://nypost.com/2026/03/05/us-news/california-gas-crisis-risks-8-per-gallon-and-rationing-lawmakers/",Minh Nguyen,whatsamortgage,https://www.instagram.com/p/DWG-K-HFLI1/,414,👏 Bravo Newson you are doing very good! You should get lost already,993,2026-03-20T14:04:18.000Z,,,,,,,,,,,,,,,,Instagram
"💫⚡⭐🥰.
.
.
.
.
#instagramreels 
#instamood 
#india
#italy 
#instagood",~💞🎀♡ 𝐌ŏ𝕙ị𝗻і ♡🎀💓,_mohini_kadam_865,https://www.instagram.com/p/DWsXpsEiHgs/,33,👏,-1,2026-04-04T02:38:41.000Z,,instagramreels,instamood,india,italy,instagood,,,,,,,,,,Instagram
"Pakistan Petroleum Minister Ali Pervaiz Malik has openly acknowledged India’s stronger position amid the global oil crisis, citing New Delhi’s massive forex reserves and strategic fuel stockpiles. As oil prices surge due to Strait of Hormuz tensions, Islamabad is battling mounting economic pressure, IMF restrictions and rapidly shrinking fuel reserves.

[Pakistan fuel crisis, India oil reserves, Pakistan admits India advantage, Strait of Hormuz tensions, global oil prices surge, US Iran conflict]

#TNWorldWatch #RS@",Times Now,timesnow,https://www.instagram.com/p/DXyAWquD6ym/,19,Kanjaaaroooo hmne aise Kuch socha bhi nahe 😂,765,2026-05-01T03:41:53.000Z,,TNWorldWatch,RS,,,,,,,,,,,,,Instagram
"Ye kaunsa subject hai yr 🥺
.
.
.
(explore explorepage exploremore memes news funny india)",Hutia Minati 💀,hutia_minati,https://www.instagram.com/p/DXlnSzhkdoc/,2057,Really miss ho gya🥺🥺,-1,2026-04-26T08:12:03.000Z,,,,,,,,,,,,,,,,Instagram
"Foreigners are savoring the authentic taste of India, enjoying traditional meals served on banana leaves. No KFC or McDonald’s can match the joy of this cultural dining experience. 🍛🌿
.
.
Follow [@onevisionmedia.in] to stay informed and updated❗
.
#onevisionmedia #onevision #facts #trending #India IndianCuisine BananaLeaf DesiFlavors FoodCulture TasteOfIndia",Onevision Media,onevisionmedia.in,https://www.instagram.com/p/DXf1aTGCZh7/,137,Endian account 😂😂😂,34474,2026-04-24T02:19:58.000Z,,onevisionmedia,onevision,facts,trending,India,,,,,,,,,,Instagram
"Australia’s fuel crisis is spiralling out of control.

A number of service stations have had to start rationing petrol supplies. 

Some of them are even enforcing limits on how much customers can fill up. 

LINK IN BIO FOR MORE",2GB Sydney,2gb873,https://www.instagram.com/p/DVrmcRmDWkP/,458,Bull 💩,1242,2026-03-09T22:57:19.000Z,,,,,,,,,,,,,,,,Instagram
"Our client, in Weaves of India 🤍
Worn your way, for your moments—just how it should be ✨
Outfit: @weavesofindia.co 

#indiansuit #indianwear #punjabisuit #womenswear #jaggonight",Weaves Of India ✨,weavesofindia.co,https://www.instagram.com/p/DWtHy0Biaiu/,15,👏👏👏🔥🔥🔥😍😍😍,997,2026-04-04T09:40:07.000Z,,indiansuit,indianwear,punjabisuit,womenswear,jaggonight,,,,,,,,,,Instagram
"Confidence looks better in black ⋆𐙚₊˚⊹🖤
.
.
.
.
.
.
.
.
.
.
.
.
#blackoutfit #classylook #trending #girl #explore

Wearing :- honest._fashion🖤🫶🏻

( black aesthetic, all black look, black outfit, classy style, elegant vibe, timeless fashion, minimal look , ootd india, kerala style, indian fashion, insta aesthetic, model , fashion , dubai , explore page, trending look, style inspo, fashion reels, beauty aesthetic, instagram style , black , girl , pretty )more :)",Siya Fathima .🧁.,siya_ninu,https://www.instagram.com/p/DXRKDlPEv02/,124,🖤🖤,6048,2026-04-18T09:47:54.000Z,,blackoutfit,classylook,trending,girl,explore,,,,,,,,,,Instagram
"India, under the leadership of Narendra Modi, is increasingly raising the issue of bringing back its cultural treasures from United Kingdom. 🇮🇳
At the centre of this discussion is the historic Kohinoor Diamond, one of the most well-known and debated gems in the world. Alongside it, India has also been seeking the return of several artefacts taken during the colonial period.
This initiative has once again sparked strong emotions connected to history, national pride, and the ongoing debate around justice and rightful ownership of cultural heritage.
#OperationKohinoor #BringKohinoorBack #IndiaHeritage #CulturalRestoration",INDIA 24HRS ⚡🇮🇳,indias24hrs,https://www.instagram.com/p/DXoMvJVEjuK/,737,This will not going to happen any soon.. Yall think England just going to give it away like that?? That crown symbolise power and wealth.. losing loosing that is basically equal to a war,34086,2026-04-27T08:18:20.000Z,,OperationKohinoor,BringKohinoorBack,IndiaHeritage,CulturalRestoration,,,,,,,,,,,Instagram
"Уличная еда в Индии. 
Street food in India

#mumbai #india #streetfood #streetfoodindia",Alex Max,amaximenkov,https://www.instagram.com/p/DVGP40vDfHa/,8,👏👏👏👏,3793,2026-02-23T10:52:25.000Z,,mumbai,india,streetfood,streetfoodindia,,,,,,,,,,,Instagram
"GREAT JOB ANGUS: In a real head scratcher from Canberra, the man who was in charge of offshoring our fuel reserves has this week continued his press campaign advocating for action on the the fuel crisis impacting Australia.

Angus Taylor, the current leader of the Opposition and the man who was Energy Minister for a significant period of time during which this crisis was created, has hit the media junket claiming we need urgent measures to address Australia's fuel insecurity.

Of course seeking to blame someone other than himself and his party who have spent 3 decades pretending renewable energy wasn't the way of the future and science was just a philosophical argument, Taylor has called on the government to temporarily halve the fuel excise for 3 months.

His helpful comments come despite him personally overseeing the offshoring of Australia's fuel supply, with Australia officially starting to store fuel (crude oil) in the United States in early 2020 when he was Energy Minister.

The deal was announced with a $94 million investment to secure space in the US Strategic Petroleum Reserve (SPR) to address 'deficiencies in Australia's domestic fuel stockpiles' - which definitely wouldn't have annnnnythhinnnggggg to do with some nice consultants recommending things that could or could not personally benefit individuals involved with the deal.

Aside from Australia not being able to store it's own fuel being the stupidest argument since Jospeh Sua'ali's hit on Reece Walsh in Origin, the stock pile in America also means that that oil defs ain't ours when push comes to shove with America and their incredibly rational leader.

However, not one to let the facts get in the way of a good opportunity to sledge, Taylor is adamant this fuel crisis has nothing to do with him.

Speaking exclusively to The Advocate the economic luminary said he is just about dealing with what's in front of him.

""Mate, let's not get caught up on the past okay,"" said Taylor.

""Lets just focus on solutions, and talk shit about the current government okay.""

More to come.",The Betoota Advocate,betootaadvocate,https://www.instagram.com/p/DWX2O2jgJF6/,391,Well done Angus . Great job,26114,2026-03-27T03:21:47.000Z,,,,,,,,,,,,,,,,Instagram
,INDIAN FEEDS | BHARAT | INDIA 🇮🇳,indian.feeds,https://www.instagram.com/p/DWUBrgUkh23/,0,,,2026-03-25T15:44:53.000Z,,,,,,,,,,,,,,,,Instagram
"A masterpiece carved in white 🤍
.
.
.
.
.
.

The Taj is an ivory-white marble mausoleum on the right bank of the river Yamuna in Agra, Uttar Pradesh, India. It was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan (r. 1628-1658), to house the tomb of his beloved wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a 17-hectare (42-acre) complex, which includes a mosque and a guest house, and is set in formal gardens bounded on three sides by a crenellated wall",AZEEM SHIHAB ,azeemshihab,https://www.instagram.com/p/DVJDJ7Kktrq/,142,😍,4805,2026-02-24T12:54:42.000Z,,,,,,,,,,,,,,,,Instagram
"India has been placed at 6th position in some IMF projections of global GDP rankings, based on updated estimates and currency fluctuations. These rankings can vary depending on calculation methods and time periods.

Despite short-term changes, India remains one of the fastest-growing major economies in the world. Strong domestic demand and long-term economic reforms continue to support its growth outlook.",INDIANS,indians,https://www.instagram.com/p/DXOqk-HDW40/,1606,"In this war time, still survived only one country that India... Jai BJP",83117,2026-04-17T10:18:11.000Z,,,,,,,,,,,,,,,,Instagram
Made in India❤️🙏 #reels #trendingreels #reelsinstagram,Susmita Pal,susmitapal07,https://www.instagram.com/p/DWYDlwak8Ae/,286,❤️❤️❤️❤️❤️,2404,2026-03-27T05:19:53.000Z,,reels,trendingreels,reelsinstagram,,,,,,,,,,,,Instagram
Chil bro 🤟😇#newpost😍 #instagram #india,বাঙালী ❤️‍🩹 মাইয়া,___reshmina___46,https://www.instagram.com/p/DWqqQqKCO0q/,91,❤️❤️,3815,2026-04-03T10:42:49.000Z,,newpost😍,instagram,india,,,,,,,,,,,,Instagram
"🪕🦢
.
.
.
.
.
.
.
.
.
.
.
.#vishu 
.#viralpost #viral
. #viraltrending #explorepage  explore instagram fyp instagood love reels like tiktok follow foryou viralpost viralvideos photography likeforlikes fashion followforfollowback memes instadaily music india indonesia reelsinstagram trend viralreels likes foryoupage photooftheday",𝑨𝒏𝒖𝒖𝒖🌷,ananyyyh__,https://www.instagram.com/p/DXIzxmQDH-p/,145,So butful,4663,2026-04-15T03:43:08.000Z,,vishu,viralpost,viral,viraltrending,explorepage,,,,,,,,,,Instagram
"India is a land of diversity🇮🇳
.
.
.
.
.
.
.
#india #love",,archiveofabhhii,https://www.instagram.com/p/DUm4JVoDfyC/,91,❤️,19424,2026-02-11T06:24:25.000Z,,india,love,,,,,,,,,,,,,Instagram
Pan india 🔥#viralvideos #trendingreels #viral #trending #reelsinstagram,ਪਾਇਲ🤍,payal__movess,https://www.instagram.com/p/DVaaOxSkTdz/,311,🙌,12185,2026-03-03T06:44:41.000Z,,viralvideos,trendingreels,viral,trending,reelsinstagram,,,,,,,,,,Instagram
"World Bank Says India Can Become A Developed Country By 2047—If Key Reforms Are Implemented.

The report highlights that with the right structural reforms, India has the potential to transition into a developed economy by its 100th year of independence. Key areas include improving infrastructure, boosting manufacturing, enhancing human capital, and strengthening governance systems.

Experts emphasize that sustained economic growth, job creation, and policy consistency will be crucial to achieving this milestone. Without timely reforms, the opportunity could slow down.

The next two decades will be decisive in shaping India’s journey from a fast-growing economy to a fully developed nation.

(india developed country 2047 world bank report what reforms needed economic growth infrastructure jobs policy analysis, india economy future 2047 developed nation roadmap challenges opportunities reforms needed, world bank india growth projection developed country conditions manufacturing infrastructure human capital, india economic transformation 2047 goals reforms governance investment growth strategy, can india become developed nation by 2047 analysis world bank report key factors, india growth story future economy reforms manufacturing jobs infrastructure policy consistency, india development roadmap 2047 opportunities challenges economic reforms needed, world bank india report explained path to developed nation growth strategy, india becoming developed country what it requires reforms investment human capital, india long term economic vision 2047 transformation growth challenges and opportunities)

#india #economy #growth #development #future",Real Estate Stories,realestatestories.in,https://www.instagram.com/p/DW--DRhEYuY/,241,Kill parasite from bharat like chamar ambedkar mohmmad Jesususu chamar neech jaati then Bharat will be developed before 2040😂,4676,2026-04-11T08:00:31.000Z,,india,economy,growth,development,future,,,,,,,,,,Instagram
India,,manish___mavi__tiger__302k,https://www.instagram.com/p/DXMlUVNiccK/,2,@n.nekitta_ 🙏🏻🙏🏻🙏🏻,1852,2026-04-16T14:53:44.000Z,,,,,,,,,,,,,,,,Instagram
"Brother,s🦁

#Karnataka#Hubli Dharwad#India#brother,s#Haveri",Babajan Musafir,babajan_musafir,https://www.instagram.com/p/DXWjyZ1CTAB/,25,🔥,8996,2026-04-20T11:52:48.000Z,,Karnataka,Hubli,India,"brother,s",Haveri,,,,,,,,,,Instagram
"#BREAKING: Australia’s two largest fuel suppliers will import additional supply under a new government-backed deal.

Anthony Albanese says Ampol and Viva Energy will bring more fuel onshore with support from Export Finance Australia by allowing the companies to import fuel from countries they do not typically source from.

The agreement allows the government to direct where the fuel is distributed.

The extra supply is expected to be prioritised for regional areas.

Click the link in bio for the latest on the fuel crisis.",10 News,10newsau,https://www.instagram.com/p/DW5SzykD6xC/,171,"Don’t worry people its not as though he would spin a lie  here, somehow l don’t believe anything thst comes out of his gob😡",871,2026-04-09T03:06:27.000Z,,BREAKING:,,,,,,,,,,,,,,Instagram
"The Bible is being fulfilled right before our very eyes!

#biblefulling #endtimes #war #us #iran",Raheem Allen! Yes we are in the final generation.,we_are_in_the_final_generation,https://www.instagram.com/p/DVUdvu1kheY/,504,"Ls Trump’s statement some kind of April Fools’ Day prank http://patreon.com/Straycat698

Lebanon Suffers Devastation During Ceasefire; Trump Faces International Isolation http://patreon.com/Straycat698

Armed Clashes Between Thailand and Cambodia An Operation to Block the Belt and Road Initiative？ http://patreon.com/Straycat698",63696,2026-02-28T23:18:48.000Z,,biblefulling,endtimes,war,us,iran,,,,,,,,,,Instagram
