comment,ownerFullName,ownerUsername,url,commentsCount,firstComment,likesCount,time,queryTag,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,,type
"🔴🌏⚡️ | HAMAS > Khalil al-Hayya, succède à Sinwar: élu chef du Hamas, Khalil al-Hayya avait salué le cessez-le-feu comme une « victoire » tout en qualifiant le 7 octobre de « source de fierté ». 

Selon plusieurs sources, dont le quotidien libanais Al-Akhbar, le Hamas a procédé à un renouvellement de sa direction. Khalil al-Hayya prend la tête du mouvement à Gaza, Zaher Jabarin en Judée-Samarie et Khaled Mechaal reste en charge de la direction extérieure.

Dans une déclaration télévisée depuis le Qatar ou il reside, al-Hayya a affirmé que le Hamas avait « contrecarré les objectifs de l’occupation », qualifiant l’accord de cessez-le-feu de « moment stratégique historique ».

Le massacre le plus meurtrier des Juifs depuis le génocide de l’Holocauste était une « réalisation militaire » et « une source de fierté pour notre peuple... à transmettre de génération en génération », a déclaré al-Hayya.

Parallèlement, le dirigeant du Hamas a réaffirmé que le mouvement poursuivrait son objectif de lutte contre Israël, évoquant Jérusalem et la mosquée Al-Aqsa comme une « boussole stratégique ».

📌Une ligne politique, totalement assumée. 

#Hamas #Gaza #Israel #7octobre  #SWNews",Simon Weinberg,simonweinbergnews,https://www.instagram.com/p/DX6UXdACut2/,6,,9,2026-05-04T09:15:24.000Z,,Hamas,Gaza,Israel,7octobre,SWNews,,,,,,,,,,,,,,,,,,,,Instagram
"the beauty of God 🙏🌄

 #redcanyon #israel #fypシ #highlights #creation",Jade Anthony Molato,its_jadex972,https://www.instagram.com/p/DX6Ux1lDbtH/,0,,0,2026-05-04T09:14:19.000Z,,redcanyon,israel,fypシ,highlights,creation,,,,,,,,,,,,,,,,,,,,Instagram
Que la #paix règne sur ce monde #ainsisoitil ❤❤❤⚕️⚕️⚕️💎💎 #israel #palestine,giolignola2222,giolignola2222,https://www.instagram.com/p/DX6UqDsDXRG/,0,,0,2026-05-04T09:13:15.000Z,,paix,ainsisoitil,israel,palestine,,,,,,,,,,,,,,,,,,,,,Instagram
"Ein weiteres EU - Land Slowenien droht Nethanyahu mit Verhaftung! 

#deutschland #politik #bundesregierung #israel #gesellschaft",Carsten Winkler,carstenwinkler1170,https://www.instagram.com/p/DX6UQL_jflW/,10,,117,2026-05-04T09:12:08.000Z,,deutschland,politik,bundesregierung,israel,gesellschaft,,,,,,,,,,,,,,,,,,,,Instagram
"✈️ Zborurile Chișinău - Tel Aviv revin din 3 mai

SkyUp Airlines reia zborurile directe către Tel Aviv, cu 4 frecvențe pe săptămână.

Zile de operare:
luni, marți, joi și duminică

Tarife:
de la 115 €

Program orientativ al zborurilor:

Luni
Chișinău – Tel Aviv: 16:35 - 19:25
Tel Aviv – Chișinău: 20:25 - 23:10

Marți și duminică
Chișinău – Tel Aviv: 16:10 – 19:00
Tel Aviv – Chișinău: 20:00 – 20:55

Joi
Chișinău - Tel Aviv: 16:30 - 19:20
Tel Aviv - Chișinău: 20:20 - 23:15

🛡️ Siguranța pasagerilor rămâne prioritară. Compania monitorizează constant situația din regiune și operează conform recomandărilor oficiale ale autorităților aeronautice.

Pentru disponibilitate, zile exacte și rezervări, contactați agenții AirService.

📞 022 800 100
🌐 www.airservice.md
📍 Bd. Ștefan cel Mare 3
#AirService #TelAviv #ZboruriDirecte #Chisinau #Israel",AirService • Bilete de avion Chișinău,airservicemd,https://www.instagram.com/p/DX6UayXl0mT/,0,,6,2026-05-04T09:11:09.000Z,,AirService,TelAviv,ZboruriDirecte,Chisinau,Israel,,,,,,,,,,,,,,,,,,,,Instagram
"The first look of 🇮🇱Israel / Noam Bettan - ""Michelle""
.
.
.
#eurovision2026 #firstlook #israel #noambettan #UnitedByMusic",Eurovision Daily News,eurovision_daily_news,https://www.instagram.com/p/DX6UXgujBJN/,0,,4,2026-05-04T09:10:43.000Z,,eurovision2026,firstlook,israel,noambettan,UnitedByMusic,,,,,,,,,,,,,,,,,,,,Instagram
"🇮🇱 Israel’s first rehearsal pics at Eurovision 2026 have dropped, and Noam Bettan is keeping things sleek in an all-black look. For “Michelle”, a large diamond prop takes centre stage, while dancers in black and white outfits create a visual contrast around him.

📸 Corinne Cumming / EBU

#Eurovision #EurovisionRehearsals #ESC2026 #EurovisionSongContest #Israel",wiwibloggs,wiwibloggs,https://www.instagram.com/p/DX6UIVCjZSC/,31,,102,2026-05-04T09:08:37.000Z,,Eurovision,EurovisionRehearsals,ESC2026,EurovisionSongContest,Israel,,,,,,,,,,,,,,,,,,,,Instagram
"Images from Israel's first rehearsal have arrived.

#eurovision #esc2026 #esc #rehearsal #esc2026 #wien #vienna #Israel

Source: Eurovision Facebook",EurovisionCentral.com,eurovision.central,https://www.instagram.com/p/DX6UG4VFxpM/,0,,1,2026-05-04T09:08:25.000Z,,eurovision,esc2026,esc,rehearsal,wien,vienna,Israel,,,,,,,,,,,,,,,,,,Instagram
"Here's your first look at Israel's first rehearsal!🇮🇱 #Eurovision #esc2026 #Israel
🇮🇱 Noam Bettan Brings “The Diamond” to Eurovision Stage in One of the Most Ambitious Set Designs of the Year

Noam Bettan introduces one of the most visually dominant staging concepts of this year’s contest, unveiling a massive structure titled “The Diamond” as part of Israel’s performance. The installation is described as the largest stage prop of the current edition, immediately drawing attention with its scale and design.

Built around an infinity mirror concept, the structure creates layered reflections that multiply visual elements on stage, including repeated “Michelle” imagery that directly references the song’s official music video aesthetic. The effect gives the performance a fragmented, high-impact visual identity.

The act begins with Noam and a single dancer positioned inside the crystal-like structure, setting a tense and cinematic opening. As the song progresses, four additional dancers join the staging, expanding the movement and energy across the stage. Meanwhile, “The Diamond” remains a central visual anchor in the background, continuously enhancing the depth and intensity of the overall presentation.",EuroSongNews,eurosongnews,https://www.instagram.com/p/DX6T4BajK6h/,1,,13,2026-05-04T09:06:23.000Z,,Eurovision,esc2026,Israel,,,,,,,,,,,,,,,,,,,,,,Instagram
"غزہ میں جنگ بندی کے باوجود صورتحال بدستور کشیدہ ہے اور نئی جنگ کے خدشات ایک بار پھر سر اٹھانے لگے ہیں۔
رپورٹس کے مطابق Gaza میں جنگ بندی کے بعد بھی تشدد کا سلسلہ مکمل طور پر نہیں رک سکا۔ اب تک سیکڑوں فلسطینی جان کی بازی ہار چکے ہیں جبکہ مختلف علاقوں میں کارروائیاں جاری ہیں۔
اسرائیلی وزیرِ اعظم Benjamin Netanyahu نے اہم سیکیورٹی اجلاس منسوخ کر کے محدود مشاورت شروع کر دی ہے، جس سے یہ تاثر مل رہا ہے کہ حالات مزید بگڑ سکتے ہیں۔ فوجی ذرائع کا کہنا ہے کہ نئی جنگ کا امکان بڑھ رہا ہے۔
دوسری جانب اطلاعات ہیں کہ اسرائیلی فوج نے غزہ کے بڑے حصے پر اپنا کنٹرول مزید بڑھا لیا ہے، جس سے زمینی صورتحال اور پیچیدہ ہو گئی ہے۔
ادھر Egypt میں ثالثی کی کوششیں جاری ہیں، جہاں ایک امریکی حمایت یافتہ منصوبہ سامنے آیا ہے۔ اس منصوبے میں حماس سے مرحلہ وار ہتھیار ڈالنے کا مطالبہ کیا گیا ہے، تاہم فلسطینی گروہوں نے اسے مسترد کر دیا ہے۔
حماس کا مؤقف ہے کہ ہتھیار ڈالنے کا معاملہ آزاد فلسطینی ریاست کے قیام سے جڑا ہوا ہے اور انسانی امداد کو دباؤ کے طور پر استعمال نہیں کیا جانا چاہیے۔
ماہرین کے مطابق بڑھتی ہوئی کشیدگی کے پیچھے سیاسی عوامل بھی کارفرما ہو سکتے ہیں، جبکہ طویل جنگی صورتحال کے باعث اسرائیلی فوج کو بھی دباؤ اور تھکن کا سامنا ہے۔
غزہ میں جنگ بندی… مگر امن کہاں؟
کشیدگی برقرار، دھمکیاں تیز، اور حالات بدستور سنگین!

Nice News Chanel Provides Informatic News and Entertainment and Good Stories all over from Pakistan
Like | Subscribe | Share & Comment 
Keep Watching Nice News From Pakistan
Nice News 051
Email: nicenews051@gmail.com
Youtube channel: https://youtube.com/@nicenews051?si=2weQPS5E_xUe0t0F
نائس نیوز نیٹ ورک پاکستان
https://whatsapp.com/channel/0029Vb7VhhW1dAw5VgBv0D1n
https://www.facebook.com/share/1DnroVeUX4/
https://www.instagram.com/nicenews051?igsh=Nm1uODFkbnh1MnN3
https://www.tiktok.com/@nicenews051?_r=1&_t=ZS-932UpVwmnYL

Only Positive Image of Pakistan

#Gaza #Ceasefire #BreakingNews #Israel #Palestine MiddleEast WarUpdates HumanRights PeaceNeeded",Nice News Islamabad,nicenews051,https://www.instagram.com/p/DX6T1_TCIpe/,0,,0,2026-05-04T09:06:10.000Z,,Gaza,Ceasefire,BreakingNews,Israel,Palestine,,,,,,,,,,,,,,,,,,,,Instagram
"💾 מדריך הישרדות לפירות ים קפואים שאתם רוצים לשמור!

אז החלטתם לקנות פירות ים קפואים, אבל איך למען כל הקלמרי מכינים אותם ככה שגם תצא לכם ארוחה שווה?

👈 ריכזנו לכם כמה טיפים פשוטים שיהפכו את האירוע לחוויה קולינרית מושלמת.

🦑 קלמרי
איפה קל לטעות? זמן הבישול.
מה נכון לעשות: צריבה מהירה או טיגון לדקה או שתיים.

🦀 קינג קראב 
איפה קל לטעות? בישול ארוך מידי.
מה נכון לעשות: חימום עדין בלבד (הוא כבר מבושל!)
אידוי של 4-6 דקות או בתנור על 180 מעלות למשך 8-10 דקות.

🍤 שרימפס
איפה קל לטעות? בישול יתר.
מה נכון לעשות: בישול קצר מאוד של 2-4 דקות ולשים לב לצבע שלו. ברגע שהוא נהיה ורוד ואטום זה הזמן להפסיק את הבישול.

🐙 תמנון 
איפה קל לטעות? לפחד ממנו
מה נכון לעשות: בישול מקדים וצריבה יהפכו אותו לרך.
זמן הבישול תלוי בגודל שלו והוא נע בין 45-90 דקות בבישול או אפיה בחום נמוך ואז אפשר לצרוב במחבת או גריל. 

🦞 לובסטר 
איפה קל לטעות? בתהליך ההפשרה.
מה נכון לעשות: הפשרה איטית של לילה במקרר ובישול קצר במים או באידוי למשך 5-8 דקות. 

⭐ טיפ של אושן סטאר - מאכלי ים שעברו תהליך הקפאה מהירה שומרים על הטריות שלהם בדיוק כמו ברגע הדייג.

יש לכם עוד שאלות על מאכלי ים? 
אנחנו פה בשבילכם!

אושן סטאר - החריש 14, פארק תעשיות עמק חפר.
054-9966969

#seafood #food #israel #foodie #עמקחפר",Seafood & Caviar House - אושן סטאר,oceanstar_seafood,https://www.instagram.com/p/DX6ThGdgvaA/,0,,1,2026-05-04T09:06:00.000Z,,seafood,food,israel,foodie,עמקחפר,,,,,,,,,,,,,,,,,,,,Instagram
"🎥🤩 Gestern fanden die ersten Einzelproben für den ESC 2026 in der Wiener Stadthalle statt! Proben durften die ersten Acts des ersten Halbfinals.

🇮🇱 Hier sind erste visuelle Eindrücke der Probe von Israel. 

Wie gefallen dir die Probenbilder?

Mehr Infos natürlich auch auf ESCkompakt.de

#ESC2026 #wien #eurovision #proben #israel

📸: EBU",ESC kompakt,esc_kompakt,https://www.instagram.com/p/DX6TxHVjJ5x/,0,,17,2026-05-04T09:05:26.000Z,,ESC2026,wien,eurovision,proben,israel,,,,,,,,,,,,,,,,,,,,Instagram
"Il ministro degli Esteri israeliano esprime soddisfazione per la linea del governo Meloni: “L’Italia difende Israele dai tentativi dell’Ue di imporre sanzioni”.

#governo #meloni #israele #israel",TPI,tpi,https://www.instagram.com/p/DX6TwOxjQ1o/,85,,488,2026-05-04T09:05:19.000Z,,governo,meloni,israele,israel,,,,,,,,,,,,,,,,,,,,,Instagram
"Israel 🇮🇱 First Look! 📸 

#israel #eurovision2026 #firstlook",Eurovision Pulse,eurovision_pulse_,https://www.instagram.com/p/DX6TmiNjP-Z/,2,,-1,2026-05-04T09:04:00.000Z,,israel,eurovision2026,firstlook,,,,,,,,,,,,,,,,,,,,,,Instagram
"Israel 🇮🇱 | First Look 

#eurovision #israel 

📸 Corinne Cumming - Sarah Louise Bennett - Alma Bengtsson - EBU",EUROVISION NEWS,eurovision__news_,https://www.instagram.com/p/DX6Tc0jjO63/,48,,-1,2026-05-04T09:02:42.000Z,,eurovision,israel,,,,,,,,,,,,,,,,,,,,,,,Instagram
,Sharon,sharonkanneh_streetphotograph,https://www.instagram.com/p/DX6TZPhjFE6/,1,,1,2026-05-04T09:02:16.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"The TRNC Foreign Minister Tahsin Ertuğruloğlu has warned that new alliances in the Eastern Mediterranean are not about stability - but targeting Türkiye and Turkish Cypriots.

He pointed to growing cooperation between the Greek Cypriot side and Israel, calling it a “dirty alliance” driven by long-standing ambitions against Türkiye.

France is now preparing to deploy around 1,500 troops to Southern Cyprus - following the SOFA agreement set to be signed in June - further militarising the island.

This follows expanding defence deals and increasing access for foreign forces in the South.

Ertuğruloğlu made it clear: the Cyprus issue is not about territory - it is a status issue. One side was rewarded after breaking the 1960 partnership, while Turkish Cypriots remain isolated.

He also praised Türkiye’s deployment of F-16s and air defence systems, calling it a clear guarantee that the TRNC will be protected.

🇹🇷 KKTC Dışişleri Bakanı Tahsin Ertuğruloğlu, Doğu Akdeniz’de kurulan ittifakların istikrar değil, Türkiye ve Kıbrıs Türklerini hedef aldığını vurguladı.

Rum tarafı ile İsrail arasındaki iş birliğini “kirli ittifak” olarak nitelendirdi.

Fransa’nın ise Haziran’da imzalanacak SOFA anlaşması sonrası Güney Kıbrıs’a yaklaşık 1.500 asker konuşlandırmaya hazırlandığı belirtiliyor.

Bu gelişmeler, artan savunma anlaşmaları ve yabancı askeri varlığın genişlemesinin devamı niteliğinde.

Ertuğruloğlu’na göre Kıbrıs meselesi bir toprak değil, statü sorunudur. 1960 ortaklığını bozan taraf ödüllendirilmiş, Kıbrıs Türkleri ise hâlâ izolasyona maruz kalmıştır.

Türkiye’nin gönderdiği F-16’lar ve hava savunma sistemleri ise KKTC’nin korunacağının açık göstergesidir.

#cyprus #france #israel #KKTC #türkiye",𝐘𝐨𝐮𝐧𝐠.𝐓𝐮𝐫𝐤𝐢𝐬𝐡.𝐂𝐲𝐩𝐫𝐢𝐨𝐭𝐬,young.turkish.cypriots,https://www.instagram.com/p/DX6TSFrgKVh/,10,,49,2026-05-04T09:02:02.000Z,,cyprus,france,israel,KKTC,türkiye,,,,,,,,,,,,,,,,,,,,Instagram
"#LinkInBio | ✈️🛡️ Military boost approved ⚙️💼 Israel clears a plan to buy F-35 and F-15I fighter jets from the US amid ongoing conflict with Iran 🚀📊👉 How do such defence deals shape regional stability?

#Israel #US #Defense #Military #WorldNews",The Economic Times,economictimes,https://www.instagram.com/p/DX6TOCbmvwL/,0,,45,2026-05-04T09:00:39.000Z,,LinkInBio,Israel,US,Defense,Military,WorldNews,,,,,,,,,,,,,,,,,,,Instagram
"BREAKING: Iran has officially launched a massive restoration project, reporting that 37,000 buildings damaged during the recent US-Israeli strikes are being repaired. This monumental effort covers everything from residential homes to critical infrastructure as the country tries to move forward from the conflict.

#Iran #Israel #USA #MiddleEast",Hoot Republic,hoot_republic,https://www.instagram.com/p/DX6TBY8EkVc/,0,,0,2026-05-04T08:58:58.000Z,,Iran,Israel,USA,MiddleEast,,,,,,,,,,,,,,,,,,,,,Instagram
"Israeli telecommunications infrastructure was used over the past three years to track people in over 10 countries, according to a new investigation

#israel",Anadolu English,anadoluagency,https://www.instagram.com/p/DX6SyAqCGfD/,0,,24,2026-05-04T08:56:49.000Z,,israel,,,,,,,,,,,,,,,,,,,,,,,,Instagram
"나는 최고의 삶을 살고 있어 😊
#usareels🇺🇸 #canada🇨🇦 #china🇨🇳 #singapore #israel",Byeol,byeol.0113,https://www.instagram.com/p/DX6SszzjcqB/,0,,0,2026-05-04T08:56:07.000Z,,usareels🇺🇸,canada🇨🇦,china🇨🇳,singapore,israel,,,,,,,,,,,,,,,,,,,,Instagram
"5 Things You Should Know Before Buying Property in Israel 🇮🇱

1. Investment 💸
Israel’s real estate market is strong long-term, and many international buyers choose to enter early.

2. Representation 👥
Don’t buy remotely without someone you trust on the ground.

3. Costs 📝
Know all the costs upfront - taxes, legal fees, agent fees, and more.

4. Location 📍
The right location means stronger demand and better future value.

5. Professional Guidance 🤵🏻✅
The right guidance saves time, energy , and costly mistakes.

Thinking about buying property in Israel? 
Send us a message 📩
#Cohenrealestate #Israel #jewish #investmant #realestate",COHEN REAL ESTATE🏠,cohen_realestate,https://www.instagram.com/p/DX6Qu13Da20/,1,,4,2026-05-04T08:55:11.000Z,,Cohenrealestate,Israel,jewish,investmant,realestate,,,,,,,,,,,,,,,,,,,,Instagram
"מחפשים עבודה באווירה הכי כיפית שיש? בואו להצטרף למשפחה שלנו ב""לחיות באהבה"" ולהיות חלק מהצוות הכי חם בבילו! 🐶✨

#hiring #work #pets #israel",לחיות באהבה חנות חיות ברחובות,pet_israel,https://www.instagram.com/p/DX6SgnODe2Y/,0,,0,2026-05-04T08:54:30.000Z,,hiring,work,pets,israel,,,,,,,,,,,,,,,,,,,,,Instagram
"Blessing of the weddings 🤍

A Saturday of message, strong prayer and renew of strength — & the start of a new week and our purpose for the Holy Spirit, the #FastOfDaniel 🙌🏻

Gathering together in a talk and special prayer with the African community ❤️

And our #Intellimen service 👊🏻 about having the success as a consequence 

#nation #israel",קהילת אוניברסל,kehilatuniversal,https://www.instagram.com/p/DX6JG18jVqm/,0,,55,2026-05-04T07:32:17.000Z,,FastOfDaniel,Intellimen,nation,israel,,,,,,,,,,,,,,,,,,,,,Instagram
